,Period 1,Period 2
0,28.30858803,13.993339489298245
1,25.84823608,12.11337185
2,29.70326424,12.55802345
3,28.89260292,11.303816796666666
4,13.19693851,11.29470444
5,23.09859467,12.82593727
6,28.71661568,12.56793022
7,23.28082085,12.41576958
8,20.76412201,11.38455391
9,18.01849174,11.6653204
10,25.1375618,11.33440113
11,31.70173836,31.99739075
12,29.04038429,11.88843346
13,25.83121109,11.62324047
14,27.21904373,12.76925564
15,21.95042324,13.01443768
16,25.62685916263158,12.35873318
17,25.25393867,11.74924755
18,29.58416557,13.51299095
19,31.36358261,27.49589157
